H4_BLACK,27KSuper,25,240,25
H4_BLACK,1080,60,240,30
H4_BLACK,4K,24,240,24
H4_BLACK,1440,80,N/A,N/A
H4_BLACK,1080,30,480,30
H4_BLACK,4K,30,240,30
H4_BLACK,1080,25,480,25
H4_BLACK,4K,25,240,25
H4_BLACK,1440,50,240,25
H4_BLACK,1440,48,240,24
H4_BLACK,1440,60,240,30
H4_BLACK,27K,25,240,25
H4_BLACK,1440,25,240,25
H4_SILVER,1080,25,480,25
H4_SILVER,1080,24,480,24
H4_SILVER,1080,30,480,30
H4_SILVER,720,100,N/A,N/A
H4_SILVER,720,60,480,30
H4_SILVER,480,240,N/A,N/A
H4_SILVER,27K,24,240,24
H4_SILVER,4K,15,240,15
H4_SILVER,1440,30,240,30
H4_SILVER,1440,24,240,24
H4_SILVER,1080,50,240,25
H4_SILVER,1440,25,240,25
H4_SILVER,1080,48,240,24
H4_SILVER,960,60,480,30
H4_SILVER,4K,13,240,13
H4_SILVER,960,50,480,25
H4_SILVER,720,50,480,25
H4_SILVER,1080,60,240,30
H4_SILVER,720,120,N/A,N/A
H4_SILVER,720,25,480,25
H4_SILVER,720,30,480,30
H4_SILVER,1440,48,240,24
H4_SILVER,27K,25,240,25
H4_SILVER,27K,30,240,30
H4_SILVER,960,100,N/A,N/A
H4_SESSION,1080,25,240,25
H4_SESSION,960,30,240,30
H4_SESSION,1080,30,240,15
H4_SESSION,720,30,240,30
H4_SESSION,720,60,240,30
H4_SESSION,1440,30,240,15
H4_SESSION,1080,50,240,25
H4_SESSION,1440,25,240,25
H4_SESSION,480,100,240,25
H4_SESSION,960,60,240,30
H4_SESSION,960,25,240,25
H4_SESSION,960,50,240,25
H4_SESSION,720,50,240,25
H4_SESSION,1080,60,240,10
H4_SESSION,720,25,240,25
H4_SESSION,480,120,240,30
HERO_2018,1080,25,480,25
HERO_2018,1080,50,480,25
HERO_2018,1440,50,480,25
HERO_2018,1440,25,480,25
HERO_2018,1080,30,480,30
HERO_2018,1080,60,480,30
HERO_2018,1440,60,480,30
HERO_2018,1440,30,480,30
H5_BLACK,720,240,480,30
H5_BLACK,27K4x3,30,480,30
H5_BLACK,720,30,480,30
H5_BLACK,1080,90,480,30
H5_BLACK,27K,50,480,25
H5_BLACK,960,120,480,30
H5_BLACK,27K,30,480,30
H5_BLACK,1080,24,480,24
H5_BLACK,4K,24,480,24
H5_BLACK,1440,80,480,20
H5_BLACK,960,60,480,30
H5_BLACK,1080,30,480,30
H5_BLACK,960,50,480,25
H5_BLACK,1080,60,480,30
H5_BLACK,4K,30,480,30
H5_BLACK,720,25,480,25
H5_BLACK,1080,48,480,24
H5_BLACK,720,50,480,25
H5_BLACK,1080,25,480,25
H5_BLACK,4K,25,480,25
H5_BLACK,27K4x3,25,480,25
H5_BLACK,1440,50,480,25
H5_BLACK,720,120,480,30
H5_BLACK,720,60,480,30
H5_BLACK,480,240,480,30
H5_BLACK,27K,24,480,24
H5_BLACK,1440,60,480,30
H5_BLACK,27K,25,480,25
H5_BLACK,1440,30,480,30
H5_BLACK,27K,48,480,24
H5_BLACK,1440,24,480,24
H5_BLACK,1080,50,480,25
H5_BLACK,1080,80,480,20
H5_BLACK,1440,25,480,25
H5_BLACK,1440,48,480,24
H5_BLACK,720,100,480,25
H5_BLACK,1080,120,480,30
H5_BLACK,27K,60,480,30
H5_SESSION,27K4x3,30,480,30
H5_SESSION,720,30,480,30
H5_SESSION,1080,90,480,30
H5_SESSION,1080,24,480,24
H5_SESSION,27K,30,480,30
